past_avg_score,attendance_percent,score_trend,study_hours_per_week,next_score,at_risk
72.08,76.04,-8.63,10.77,61.53,0
67.51,85.32,-1.35,14.34,46.95,0
49.51,65.65,-14.27,4.84,34.15,1
85.88,79.92,1.16,10.77,62.12,0
86.13,86.27,2.19,6.87,74.43,0
91.36,96.55,-0.23,12.76,77.99,0
91.75,87.15,-3.93,12.09,75.18,0
67.42,49.8,-12.3,8.84,36.28,1
44.82,71.95,2.24,6.64,52.89,0
57.25,72.55,8.73,11.84,52.86,0
74.6,60.77,-3.55,10.59,55.35,0
84.82,71.24,2.64,5.26,72.79,0
27.25,51.29,-9.41,2.69,35.44,1
83.63,87.12,2.74,6.85,69.85,0
65.72,66.21,-2.36,14.06,48.74,0
65.3,64.75,-4.57,12.59,37.5,1
44.38,75.27,-4.56,3.55,43.1,0
16.86,60.98,-2.36,3.33,27.42,1
81.53,76.43,2.29,13.1,58.15,0
56.34,77.57,-7.87,3.46,41.82,0
29.51,39.57,-2.38,10.04,32.08,1
22.92,56.68,-0.25,5.54,37.77,1
66.48,83.69,-6.59,14.47,52.4,0
91.06,80.41,10.78,4.92,68.86,0
59.3,52.6,-5.12,12.57,51.76,0
53.57,41.89,-4.02,8.74,31.09,1
66.41,49.84,-5.87,9.01,38.73,1
73.84,53.22,10.79,0.12,50.93,0
13.4,32.74,3.32,0.0,33.49,1
63.91,48.06,-5.62,7.12,46.25,0
48.6,63.26,6.64,8.99,50.34,0
73.61,83.64,1.2,3.5,50.71,0
90.75,74.02,1.54,3.65,66.36,0
86.91,95.56,-2.07,10.25,67.61,0
61.33,68.81,-4.5,10.25,45.79,0
53.39,66.25,2.03,7.45,33.13,1
100.0,82.11,-3.27,11.12,68.02,0
83.13,76.38,10.9,3.3,66.68,0
62.69,52.54,-7.62,6.58,53.14,0
57.11,75.93,9.22,14.59,54.4,0
69.94,69.64,-0.67,8.27,57.5,0
56.42,70.62,1.79,8.51,45.06,0
68.25,45.37,5.0,17.22,56.18,0
54.53,49.02,-3.78,2.4,41.34,0
59.98,72.32,5.19,11.19,61.59,0
53.08,48.41,-16.25,14.66,26.93,1
60.05,63.57,-4.32,6.7,46.5,0
65.33,50.21,-5.54,11.44,47.28,0
56.04,73.0,-7.52,4.07,50.82,0
100.0,66.5,-1.29,5.25,67.88,0
18.39,44.29,2.31,9.54,27.15,1
81.66,84.47,4.22,11.19,63.51,0
88.91,70.22,1.45,12.48,69.22,0
20.85,50.71,-3.99,14.28,30.71,1
63.7,65.03,2.21,7.73,44.12,0
50.99,55.13,0.75,12.77,42.4,0
50.47,38.62,5.62,6.63,27.8,1
45.63,33.78,4.66,11.61,38.84,1
53.88,58.03,0.18,8.83,47.55,0
100.0,65.12,-5.38,9.78,64.54,0
85.93,76.47,-3.92,9.69,56.53,0
86.08,75.69,-3.3,1.58,65.03,0
73.97,81.23,-1.89,3.5,53.06,0
43.45,50.02,1.61,8.41,40.34,0
68.9,56.04,4.29,1.25,44.07,0
66.74,79.42,-0.31,11.32,63.59,0
38.37,56.69,0.1,11.49,31.04,1
81.02,76.78,0.86,9.31,55.11,0
55.03,68.61,-3.1,3.52,37.17,1
51.78,43.14,-5.55,13.52,41.01,0
64.12,82.05,-10.53,16.15,64.87,0
67.8,77.51,-4.17,8.59,52.38,0
58.92,49.51,2.84,10.04,44.04,0
84.33,74.74,-4.22,8.81,66.03,0
56.39,53.68,-1.43,10.12,46.3,0
78.45,70.35,2.8,7.52,58.03,0
72.37,75.73,3.12,7.86,63.82,0
58.77,79.43,-6.48,11.62,42.87,0
73.97,81.91,5.98,17.38,71.3,0
56.41,36.62,6.76,2.4,49.75,0
79.87,82.67,-6.78,7.58,61.92,0
58.47,79.51,-4.94,3.28,36.13,1
49.22,64.65,7.15,14.37,48.9,0
69.17,89.61,-0.88,5.65,67.26,0
59.77,82.25,-13.32,2.23,37.87,1
48.5,63.0,-8.4,10.55,43.33,0
46.27,52.15,-1.5,14.98,40.61,0
73.06,84.4,-6.98,10.65,53.1,0
57.05,53.79,-2.48,8.82,37.54,1
87.45,84.21,0.19,9.64,64.69,0
41.41,39.42,8.77,13.66,33.85,1
90.14,100.0,-1.74,4.5,66.9,0
63.3,57.89,6.44,7.55,61.6,0
68.29,82.87,8.57,6.19,70.37,0
60.1,65.78,8.61,3.33,41.12,0
73.84,52.9,1.71,6.69,40.94,0
65.09,69.52,-11.78,12.43,45.71,0
81.25,51.88,2.76,10.27,50.58,0
85.82,74.21,6.29,10.58,58.13,0
76.73,77.7,-0.49,8.59,59.36,0
65.33,54.57,10.47,10.09,60.89,0
65.04,66.38,5.16,4.8,53.78,0
77.67,92.18,3.41,6.76,59.3,0
43.49,41.47,6.52,8.77,23.96,1
44.99,38.64,2.0,9.11,36.25,1
73.72,91.08,-14.96,9.28,55.83,0
66.92,90.85,-2.99,7.45,59.9,0
36.88,63.61,7.18,6.49,48.24,0
66.96,77.83,-4.85,20.63,52.62,0
66.31,85.25,-1.34,11.63,49.62,0
69.64,50.92,-6.27,9.65,27.5,1
53.48,51.5,10.7,7.07,40.45,0
58.43,82.33,10.09,6.2,51.31,0
49.93,75.45,-5.3,7.48,44.38,0
62.75,76.54,0.88,9.17,54.51,0
43.25,37.07,-4.08,0.48,23.99,1
82.76,100.0,3.69,1.72,60.7,0
79.75,64.09,3.06,5.45,36.24,1
62.51,64.17,4.87,8.83,64.83,0
80.01,79.93,1.99,7.04,56.95,0
79.06,100.0,17.61,13.91,80.0,0
85.83,86.4,-6.17,2.07,50.21,0
41.54,51.15,-10.26,4.99,32.99,1
49.77,57.62,-2.36,14.08,40.62,0
55.64,59.46,-9.41,8.52,35.38,1
68.71,72.47,-8.95,11.54,47.09,0
85.6,40.58,-6.01,16.2,60.06,0
51.83,54.32,-5.53,5.22,38.99,1
68.91,70.36,-5.73,7.6,49.69,0
44.98,43.76,3.11,6.91,36.25,1
48.88,63.71,-3.04,0.18,30.62,1
44.68,48.28,-1.08,6.76,34.33,1
59.98,76.87,5.37,11.52,51.6,0
42.67,70.18,-4.6,10.16,45.98,0
48.47,49.66,-1.59,10.48,26.49,1
77.55,74.75,2.19,6.5,55.69,0
46.48,54.64,-11.65,5.38,31.15,1
100.0,84.58,-14.31,13.08,68.66,0
60.42,73.02,2.08,6.01,56.4,0
78.02,58.34,2.95,9.18,52.44,0
46.8,42.92,12.39,8.65,48.49,0
81.28,80.33,0.95,13.85,56.8,0
46.21,67.01,4.92,11.89,56.03,0
72.18,57.13,-1.17,2.82,51.04,0
100.0,100.0,1.78,3.25,74.95,0
66.63,56.91,10.0,10.32,64.04,0
74.28,80.61,-12.74,7.74,66.64,0
56.45,67.96,2.48,6.18,52.23,0
55.01,64.73,12.81,12.06,40.32,0
89.54,89.55,1.69,8.75,81.21,0
63.83,52.72,9.9,8.21,53.3,0
98.56,82.17,-3.78,11.12,80.62,0
75.74,70.46,-0.19,6.5,64.96,0
48.76,50.64,0.2,14.27,55.09,0
79.65,70.02,-13.31,4.85,55.04,0
79.74,57.13,-7.01,10.63,62.98,0
55.76,66.14,-6.58,13.74,66.9,0
47.71,45.59,4.93,2.49,36.43,1
53.9,54.79,5.23,6.63,35.88,1
70.91,60.0,1.94,12.57,48.61,0
55.12,63.98,4.94,12.63,56.53,0
48.9,77.77,-0.98,7.31,58.58,0
69.9,77.86,7.21,5.06,50.43,0
47.3,43.68,0.05,11.82,27.26,1
57.18,55.05,0.35,12.73,49.44,0
66.33,59.41,-1.59,3.34,57.72,0
95.44,65.53,4.11,3.18,65.97,0
78.77,72.63,-2.53,8.9,66.1,0
83.36,65.02,5.86,10.52,68.06,0
66.68,54.77,-6.79,6.8,48.65,0
47.23,59.29,-6.59,10.72,36.5,1
38.72,50.24,4.12,5.16,32.97,1
69.32,77.15,-0.53,0.0,52.91,0
64.92,60.99,-2.72,6.3,47.21,0
68.16,63.4,5.34,8.25,56.14,0
47.96,40.97,-3.64,6.9,36.31,1
47.58,53.77,-1.2,3.37,43.11,0
70.69,66.38,8.4,0.74,60.46,0
68.3,71.96,9.23,5.94,44.79,0
59.63,51.23,9.43,11.59,56.91,0
49.02,61.48,-1.69,13.02,51.6,0
71.36,69.43,7.38,12.75,64.73,0
83.13,77.56,-5.69,4.74,54.17,0
56.8,92.4,-5.44,3.39,51.34,0
55.28,70.71,-14.1,9.99,48.37,0
52.4,48.6,10.04,10.54,50.1,0
56.38,59.79,-5.18,9.6,50.0,0
47.6,40.94,-0.76,0.0,37.04,1
62.42,66.87,-5.46,4.53,46.13,0
63.04,50.48,4.17,7.88,46.27,0
95.25,89.67,-2.25,9.95,62.06,0
48.23,49.51,-7.83,11.07,40.73,0
68.25,62.14,2.65,8.58,46.25,0
43.09,53.26,-8.6,9.32,42.63,0
91.98,100.0,-5.02,8.34,67.08,0
61.52,63.71,-12.64,10.74,48.3,0
82.94,98.33,-8.54,9.25,59.67,0
40.73,59.67,1.07,8.26,36.41,1
79.57,74.09,-11.79,6.93,49.53,0
71.35,79.27,-8.89,8.33,58.21,0
71.26,71.09,-0.01,9.94,53.6,0
78.75,53.56,-3.26,9.07,66.57,0
55.97,56.72,11.95,9.52,45.72,0
84.67,90.44,11.0,13.37,74.59,0
92.72,89.05,-5.21,9.06,63.2,0
59.44,44.83,3.34,5.4,47.25,0
57.82,60.19,4.5,11.53,43.13,0
88.73,100.0,-3.58,2.54,65.04,0
89.37,97.05,-8.97,3.67,62.57,0
63.54,59.27,-0.07,9.34,47.74,0
66.09,72.51,-1.04,10.07,45.97,0
52.37,58.14,-2.61,3.02,41.08,0
51.78,30.94,2.65,6.47,42.73,0
41.73,44.76,-4.5,5.58,38.25,1
54.64,73.71,-6.91,6.05,37.2,1
58.44,54.15,0.65,11.77,42.6,0
49.19,62.22,2.32,10.83,62.18,0
69.26,64.36,-7.06,7.92,47.99,0
84.51,100.0,5.57,5.82,68.94,0
43.95,74.53,-10.62,2.6,33.78,1
90.57,100.0,-3.47,13.68,62.95,0
56.56,61.34,-1.55,10.37,45.02,0
57.81,68.53,-3.82,5.17,41.01,0
75.73,54.39,-3.39,10.88,47.02,0
53.64,71.43,11.23,7.72,43.73,0
69.6,55.5,-5.11,6.85,53.06,0
76.83,69.85,14.65,9.74,59.05,0
76.63,57.5,2.62,5.03,52.89,0
51.91,61.47,0.55,6.62,60.31,0
95.76,79.95,2.86,8.49,82.74,0
50.94,51.51,15.18,6.0,48.49,0
60.87,53.46,-5.96,10.68,38.5,1
34.65,52.38,-6.72,15.48,37.18,1
77.06,69.67,-4.53,4.98,48.49,0
59.69,45.55,0.19,1.34,38.87,1
84.03,80.63,-10.35,0.0,54.19,0
95.76,95.03,0.13,7.4,63.88,0
75.19,53.35,10.16,5.35,43.78,0
59.48,48.15,0.91,8.83,43.54,0
79.66,67.68,-1.76,8.53,46.96,0
57.76,73.86,-3.71,1.59,50.56,0
73.36,74.48,5.39,0.74,55.58,0
64.24,61.26,-4.95,9.18,49.06,0
35.65,55.39,11.08,8.54,34.4,1
82.72,68.52,11.6,6.3,69.84,0
81.13,92.53,1.54,1.37,68.28,0
55.2,63.97,-0.07,9.89,46.12,0
45.71,57.74,6.18,13.09,59.95,0
70.82,58.44,6.57,9.11,56.88,0
69.73,58.37,-4.84,4.61,44.38,0
76.05,78.83,-3.16,8.18,53.56,0
90.98,100.0,-7.93,2.54,72.7,0
86.96,55.99,2.45,12.23,58.18,0
63.91,62.62,4.0,8.33,47.88,0
34.35,30.0,-8.1,0.93,30.73,1
55.9,50.81,-2.73,6.8,44.21,0
59.64,64.78,-8.08,9.85,55.86,0
83.8,73.43,-5.39,6.67,52.85,0
46.52,48.83,3.31,6.9,48.97,0
71.81,59.84,-4.4,3.1,54.2,0
59.3,68.83,-1.8,10.27,43.53,0
90.57,75.73,-9.76,5.41,52.13,0
100.0,63.14,1.12,0.0,63.08,0
68.03,34.48,-0.27,6.51,35.71,1
50.84,53.08,-4.37,11.92,40.83,0
84.47,81.96,-1.13,6.45,63.58,0
80.29,39.69,1.08,14.95,59.53,0
88.91,78.89,-4.89,9.72,73.72,0
67.58,65.32,-8.86,9.36,46.98,0
72.49,78.39,10.83,7.49,51.06,0
75.68,67.08,-3.8,7.73,62.35,0
86.72,81.74,-0.58,6.95,66.92,0
70.73,75.81,6.07,6.79,63.25,0
62.85,45.26,21.17,10.12,65.45,0
76.44,85.92,-7.47,4.26,59.1,0
81.55,80.36,2.7,3.7,67.08,0
77.22,86.11,-4.25,3.51,61.29,0
74.65,100.0,-3.23,16.18,65.95,0
48.99,38.74,-4.32,10.12,33.93,1
58.24,87.74,-6.75,9.22,49.77,0
88.46,74.72,-0.25,3.77,57.59,0
57.58,60.37,-8.85,10.49,37.56,1
67.4,68.82,5.68,7.53,52.1,0
50.96,56.28,0.33,8.86,43.38,0
57.21,58.96,2.53,4.09,41.19,0
81.19,82.88,-2.8,8.64,67.36,0
73.02,49.3,-2.2,6.3,47.48,0
73.12,74.99,1.73,4.94,43.24,0
40.63,46.23,-6.98,10.94,28.56,1
66.97,59.77,-2.15,1.85,55.36,0
76.83,66.88,-5.16,10.26,51.69,0
90.86,100.0,-5.34,10.74,69.96,0
56.24,55.84,-12.66,4.48,38.95,1
78.89,72.1,8.04,4.72,59.47,0
75.36,59.35,-4.12,7.11,41.13,0
89.93,91.16,6.98,9.13,76.52,0
53.4,72.73,6.41,7.39,50.13,0
70.88,90.61,-7.72,9.73,55.13,0
82.62,69.78,-6.53,15.05,55.76,0
64.79,75.48,15.36,5.97,58.7,0
69.11,61.99,10.51,1.14,43.92,0
78.25,83.09,-0.19,11.3,55.55,0
94.41,68.15,1.54,14.73,73.18,0
52.04,63.66,-3.79,9.57,32.82,1
71.69,64.56,2.59,3.65,62.3,0
65.81,57.38,-4.3,7.5,39.99,1
86.5,79.15,-12.19,3.53,56.61,0
38.14,52.53,-7.93,10.57,26.38,1
53.03,58.24,0.13,2.59,39.0,1
72.57,72.04,-6.79,6.8,48.9,0
78.16,100.0,-0.4,3.98,63.38,0
62.87,76.64,-6.45,8.51,48.61,0
65.44,70.1,-4.69,6.53,42.36,0
75.69,79.79,5.12,8.71,83.5,0
55.56,39.62,1.48,8.09,27.9,1
41.0,53.88,-0.06,4.05,30.19,1
67.92,80.63,5.27,10.51,62.78,0
61.82,77.9,2.88,7.8,44.55,0
49.71,47.53,8.68,4.05,46.51,0
85.47,70.18,-2.76,16.96,56.95,0
76.52,48.39,-2.58,9.91,34.17,1
45.34,54.87,-7.81,7.39,44.34,0
50.49,64.02,-2.57,13.66,34.1,1
76.44,69.06,5.79,15.37,57.98,0
75.42,80.01,7.8,7.42,67.37,0
57.69,62.17,5.76,9.39,50.98,0
100.0,88.78,-10.77,4.05,70.08,0
57.27,40.49,6.5,7.41,47.75,0
36.2,50.5,-11.03,7.2,26.04,1
43.94,30.0,5.39,8.74,46.12,0
61.23,62.78,-2.21,9.33,45.09,0
72.13,48.49,4.22,10.24,66.03,0
63.3,77.44,-7.99,8.95,43.78,0
80.31,78.53,7.03,3.16,64.98,0
52.55,57.96,-8.79,4.25,38.96,1
94.41,98.91,-4.01,5.81,69.08,0
66.38,53.25,-5.99,6.87,40.77,0
70.65,98.2,-10.53,12.2,62.1,0
68.58,80.28,0.57,3.35,43.0,0
80.33,67.46,10.84,6.57,61.75,0
73.13,85.11,16.0,11.81,71.11,0
75.74,56.93,0.58,6.8,53.96,0
72.09,62.35,6.7,9.84,41.99,0
76.7,72.15,1.39,7.44,56.48,0
66.96,61.22,2.99,9.03,49.33,0
78.11,60.27,-2.05,7.09,56.5,0
58.41,79.23,1.17,10.67,56.38,0
84.72,77.51,3.22,1.82,64.27,0
47.34,62.63,-3.47,6.55,46.74,0
100.0,77.57,-0.46,9.19,62.49,0
62.04,43.23,-0.35,10.13,50.59,0
55.16,53.72,4.96,13.97,44.21,0
79.15,43.9,-6.4,6.44,46.58,0
54.14,57.53,-0.31,13.92,44.56,0
69.54,57.91,11.47,5.36,72.6,0
38.52,82.49,6.98,13.31,57.31,0
46.53,71.75,8.1,11.27,48.04,0
25.67,46.93,0.15,4.35,32.41,1
69.24,75.92,1.93,9.23,55.45,0
29.57,30.0,6.01,7.8,23.57,1
44.36,55.39,9.36,10.5,48.13,0
58.64,75.88,-11.71,7.11,55.77,0
67.2,76.92,-7.89,6.77,41.65,0
78.48,85.24,7.86,13.48,66.08,0
52.79,64.14,-1.66,7.61,39.61,1
63.11,68.46,-4.03,11.31,53.65,0
69.46,45.6,-7.52,7.1,48.87,0
60.71,41.82,-3.33,14.67,38.46,1
85.78,79.81,-8.41,5.29,71.49,0
78.72,75.83,12.55,5.54,65.02,0
63.23,49.62,-0.13,14.1,51.76,0
84.54,94.72,-0.35,6.22,61.44,0
51.33,85.88,3.53,14.4,60.15,0
39.84,51.29,5.77,11.57,40.19,0
60.37,63.77,5.68,7.38,47.95,0
59.3,55.79,6.44,0.75,42.19,0
44.72,43.56,-3.79,7.92,28.81,1
60.39,63.48,-1.79,8.41,49.2,0
97.66,87.47,4.61,12.67,76.13,0
99.52,57.33,-3.16,14.35,62.3,0
62.9,63.51,-0.03,5.26,50.05,0
66.8,69.65,2.39,11.2,57.25,0
82.6,57.3,4.71,11.06,57.36,0
75.24,64.88,-10.67,12.29,57.31,0
51.53,61.16,4.29,9.99,60.28,0
52.66,81.36,-1.4,0.23,50.58,0
81.34,79.51,4.24,7.38,68.26,0
60.71,53.61,4.66,3.38,51.79,0
86.82,80.73,9.65,7.19,63.46,0
78.43,53.6,8.12,11.92,54.93,0
74.87,89.51,8.08,9.22,68.78,0
55.84,54.23,8.66,12.59,49.82,0
97.55,78.21,1.75,9.37,67.18,0
73.83,83.48,0.19,2.81,54.24,0
96.2,71.84,5.24,0.0,69.06,0
52.76,41.5,4.39,8.6,38.48,1
91.65,76.72,-1.85,7.14,72.28,0
63.87,80.04,2.43,4.09,56.29,0
38.39,40.43,-0.21,1.2,37.67,1
74.08,30.0,-5.12,5.06,32.23,1
61.44,56.72,7.74,7.22,42.5,0
74.55,76.57,0.33,10.66,65.78,0
72.38,85.39,12.29,8.75,69.24,0
50.51,53.92,-9.75,14.43,31.51,1
63.15,60.31,-3.34,3.86,51.68,0
84.34,100.0,0.2,11.52,82.51,0
100.0,61.2,6.82,8.19,68.86,0
61.67,65.42,2.4,10.78,66.45,0
57.31,68.18,1.86,6.25,53.81,0
63.28,72.15,-6.76,12.29,42.97,0
84.51,65.82,-6.94,9.18,55.45,0
49.77,55.17,1.94,5.28,42.37,0
51.25,32.94,-8.18,7.95,34.89,1
50.01,40.08,-3.19,7.04,33.96,1
76.84,75.13,3.01,9.96,48.55,0
79.02,60.51,-5.89,3.28,57.17,0
63.48,61.13,9.63,7.88,45.9,0
100.0,87.39,7.34,9.58,66.85,0
64.09,48.52,-9.43,8.13,32.38,1
37.54,52.17,-5.59,13.39,37.92,1
81.36,56.3,-13.71,11.1,46.32,0
83.77,74.02,-4.7,7.97,54.78,0
94.25,90.5,4.6,8.87,69.67,0
44.58,62.57,-2.48,9.18,39.19,1
79.82,69.79,2.76,9.61,61.52,0
57.92,67.79,-9.13,0.7,51.08,0
69.04,72.26,4.79,6.79,53.18,0
86.82,50.18,-3.33,2.06,57.19,0
58.19,86.26,0.07,13.11,71.09,0
41.18,44.91,-0.56,7.76,30.25,1
96.12,86.11,-7.63,7.23,62.39,0
84.21,94.36,-6.92,11.59,79.05,0
61.45,42.47,5.81,9.69,53.56,0
73.75,61.14,2.39,3.49,43.45,0
75.14,67.22,6.3,7.72,61.06,0
66.74,58.83,1.95,6.66,52.64,0
47.01,80.54,0.86,1.02,53.01,0
45.95,48.17,-10.36,5.24,31.77,1
70.29,58.57,-1.62,7.27,43.58,0
82.75,80.27,-0.16,7.54,59.6,0
72.05,56.78,11.72,2.07,54.64,0
56.05,56.86,4.12,12.61,54.8,0
74.13,77.41,9.22,7.59,57.4,0
30.65,31.6,3.59,8.15,19.07,1
79.55,76.44,-4.27,9.6,50.53,0
28.18,40.88,0.7,4.85,37.42,1
65.51,43.52,1.42,9.83,52.75,0
46.57,57.6,-5.63,6.53,35.21,1
45.83,72.97,-2.31,4.41,38.05,1
95.27,77.91,-1.23,10.29,66.1,0
57.82,63.29,9.63,13.97,62.4,0
72.51,77.45,-12.48,10.9,53.58,0
54.86,49.78,7.23,11.69,48.26,0
70.4,90.94,-5.62,5.92,47.13,0
71.03,68.73,-8.23,1.61,39.81,1
33.31,71.61,7.08,13.96,47.65,0
81.55,67.16,4.39,16.22,60.53,0
58.4,82.13,7.53,14.17,57.29,0
41.98,58.46,4.8,6.66,35.68,1
66.88,67.64,12.36,3.38,46.59,0
90.19,84.07,3.35,3.74,60.68,0
89.58,71.44,-0.94,1.27,66.34,0
51.82,76.25,2.06,7.57,56.76,0
60.85,63.52,7.46,14.42,64.01,0
60.85,38.52,-4.68,7.43,43.93,0
87.6,73.9,-3.91,9.21,65.89,0
78.38,67.28,-1.85,13.5,63.42,0
90.05,73.74,-12.63,6.38,49.45,0
80.32,75.64,0.83,16.14,65.96,0
72.62,82.63,-11.32,15.97,53.12,0
61.79,39.37,0.32,7.48,26.21,1
56.35,65.16,5.19,5.69,61.09,0
49.36,42.93,-2.86,10.79,48.5,0
58.8,74.23,10.06,6.61,59.28,0
64.78,72.01,-8.76,3.37,52.41,0
79.41,71.08,7.15,13.12,58.89,0
75.07,62.83,4.05,12.87,56.66,0
61.02,80.01,-10.3,8.62,52.22,0
73.29,78.83,16.26,2.95,53.34,0
26.05,51.52,-0.38,3.08,31.42,1
72.61,73.57,-5.26,8.43,61.29,0
70.74,76.1,-8.44,6.0,50.21,0
88.2,67.5,-1.32,6.64,61.04,0
25.57,45.36,-0.76,12.09,18.22,1
98.31,100.0,0.62,10.93,70.77,0
63.53,76.88,-1.79,13.51,54.56,0
84.82,68.38,3.8,4.04,65.75,0
51.01,58.92,-2.33,6.63,28.53,1
65.95,56.42,-11.61,11.04,52.73,0
49.57,61.31,-0.9,9.79,38.55,1
47.05,64.36,-14.2,14.13,39.46,1
94.36,63.16,2.12,9.68,60.1,0
58.29,49.56,-5.88,15.39,40.66,0
88.58,64.39,0.98,10.16,59.76,0
77.73,71.03,7.88,12.25,64.95,0
61.2,56.19,-5.69,6.71,47.95,0
66.18,71.75,6.37,8.06,56.24,0
74.63,72.35,-2.6,11.64,58.36,0
100.0,87.67,10.52,14.45,84.77,0
59.42,55.83,-2.19,10.92,48.17,0
55.36,80.2,-5.04,7.67,59.78,0
87.29,96.4,4.12,13.51,75.63,0
70.54,71.31,-2.61,0.0,60.3,0
79.32,70.62,-5.05,2.31,58.16,0
72.52,78.1,-2.87,10.73,62.37,0
47.3,49.2,-0.27,8.06,40.33,0
95.01,80.98,8.05,10.42,78.94,0
42.34,62.34,-11.6,8.26,40.83,0
67.35,45.77,0.14,10.28,44.44,0
53.57,73.4,3.75,4.74,40.99,0
65.23,65.7,1.16,10.28,47.82,0
70.71,64.01,7.86,11.98,64.64,0
73.31,67.8,-0.45,12.88,46.15,0
78.08,69.48,-1.11,16.05,59.76,0
92.35,61.67,3.55,8.98,68.04,0
75.43,88.2,0.6,9.1,67.13,0
48.68,63.43,-2.34,1.91,46.91,0
79.86,80.94,3.1,5.87,55.14,0
86.68,89.41,-3.92,7.23,57.9,0
52.42,40.36,-3.67,12.2,28.43,1
68.42,77.45,-3.17,5.56,53.02,0
70.25,69.65,8.12,11.19,61.78,0
55.94,72.54,-19.33,7.99,33.54,1
89.93,54.42,2.37,7.29,70.18,0
71.02,62.74,0.21,9.0,41.91,0
63.62,59.58,-10.09,6.44,53.67,0
69.67,68.87,1.86,6.28,58.02,0
66.22,71.3,2.85,1.18,57.31,0
47.56,45.5,3.54,7.01,35.51,1
41.71,41.83,-15.91,6.08,28.16,1
94.89,80.91,8.2,5.94,63.3,0
54.9,45.85,-4.43,9.67,44.08,0
68.34,65.19,4.12,10.63,45.42,0
25.88,38.46,4.45,8.93,28.12,1
59.56,30.0,-5.26,11.98,30.1,1
40.92,47.11,3.96,10.3,24.46,1
82.68,70.28,-2.31,6.82,58.01,0
80.06,56.53,-12.43,6.15,57.69,0
55.78,43.43,7.01,9.25,42.62,0
100.0,90.46,-4.65,10.3,72.17,0
78.25,91.75,-5.13,13.59,67.65,0
51.09,65.85,-2.42,12.76,59.69,0
29.69,31.98,1.63,5.83,32.04,1
82.77,95.03,-0.34,7.59,69.93,0
43.42,45.4,3.29,10.68,26.56,1
40.45,39.89,-8.04,12.27,43.97,0
86.7,62.38,-4.45,11.76,71.58,0
100.0,68.98,-0.7,7.74,71.9,0
81.74,75.36,11.39,2.98,61.21,0
72.25,73.32,-0.68,4.0,61.7,0
67.79,70.59,6.51,9.09,60.11,0
68.78,69.47,0.23,9.37,58.93,0
78.86,62.12,-2.9,3.61,59.43,0
59.03,75.75,-1.48,8.18,56.94,0
63.25,50.79,-1.01,10.52,42.3,0
56.1,74.16,3.62,3.4,50.95,0
58.09,45.56,8.25,12.42,50.46,0
75.2,53.52,2.16,6.49,50.23,0
29.19,30.12,7.12,13.03,36.85,1
48.7,58.45,-5.79,5.87,51.09,0
49.17,66.82,-2.49,3.89,38.71,1
48.57,60.1,-4.35,6.17,39.41,1
69.45,79.13,1.89,7.62,36.04,1
82.31,86.38,-2.15,6.45,62.67,0
77.17,61.9,4.38,7.14,64.62,0
44.38,45.04,-5.59,9.34,29.47,1
58.48,45.75,0.26,7.32,36.26,1
63.47,91.34,4.12,7.74,59.91,0
47.31,40.82,-12.39,1.16,35.98,1
63.34,73.87,12.73,9.57,61.2,0
65.91,81.99,-1.7,7.64,63.08,0
64.32,77.29,-12.15,14.44,31.12,1
61.5,61.69,0.95,4.24,49.74,0
44.66,60.04,0.2,0.77,35.4,1
60.43,86.57,-0.49,10.47,49.31,0
65.07,61.45,5.95,9.39,52.77,0
26.33,30.35,4.48,3.97,30.03,1
68.18,47.56,1.79,1.88,55.45,0
72.94,73.85,2.7,14.15,44.48,0
70.59,48.7,-0.63,13.66,64.5,0
61.59,63.38,10.65,0.0,58.5,0
92.87,85.07,-8.88,6.17,61.18,0
64.23,69.04,0.84,14.66,60.85,0
54.48,66.1,0.39,6.1,38.74,1
68.03,69.45,4.88,6.04,50.91,0
79.32,86.55,-5.06,6.87,56.35,0
84.79,54.59,-10.46,3.52,51.09,0
72.23,57.8,0.94,1.18,48.19,0
63.75,48.86,1.69,12.21,46.94,0
51.01,68.5,8.94,0.63,45.1,0
35.75,61.58,-7.62,8.99,38.3,1
91.74,89.29,6.93,11.55,85.03,0
47.2,66.64,14.2,2.2,52.55,0
45.98,44.09,-2.27,4.3,38.52,1
52.82,77.96,-7.75,12.85,49.45,0
81.62,93.18,-2.44,10.13,67.05,0
63.46,71.23,0.08,5.53,52.3,0
87.75,99.98,3.38,12.81,78.25,0
57.23,38.55,-3.55,12.83,46.6,0
65.13,62.14,9.33,9.08,57.1,0
48.36,47.91,-6.69,4.4,40.27,0
87.59,96.68,-10.44,6.35,67.17,0
61.46,40.43,6.64,9.15,34.56,1
69.75,77.84,-13.65,7.25,47.61,0
72.71,88.6,-1.22,11.76,61.16,0
63.78,78.19,18.71,1.88,54.75,0
85.71,66.96,-0.07,2.02,53.35,0
54.47,52.28,-6.72,8.72,27.79,1
62.23,55.8,-0.34,6.03,65.2,0
66.12,78.95,-0.3,5.49,60.83,0
84.26,84.97,0.96,0.93,59.89,0
100.0,88.24,3.97,8.08,76.1,0
71.1,54.63,-6.23,7.79,43.11,0
48.5,30.0,10.13,10.61,35.16,1
55.23,51.72,1.47,8.28,49.74,0
97.94,100.0,4.36,7.47,78.56,0
55.41,41.7,-3.77,12.71,38.82,1
100.0,84.98,7.72,2.75,72.04,0
78.98,95.21,-1.54,10.15,63.02,0
66.32,44.63,1.67,1.32,41.57,0
